               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056474,            0.037431,            0.048109,             0.29691,             0.45374,             0.34604,             0.18504,            0.029325,             0.01597,            0.030682,            0.070009,           0.0033323,           0.0033323
                   1,            0.038726,            0.031495,            0.037099,             0.43046,             0.52843,             0.53783,             0.31557,            0.026749,            0.015128,            0.023412,            0.039877,           0.0065337,           0.0065337
                   2,            0.035692,            0.031253,            0.033361,             0.59682,             0.56233,             0.59489,             0.35383,            0.026369,            0.015233,            0.020922,           0.0096129,           0.0096031,           0.0096031
                   3,            0.034631,            0.032494,            0.032137,             0.64827,             0.59052,             0.64012,             0.38443,            0.025661,            0.015492,            0.017776,            0.009406,            0.009406,            0.009406
                   4,            0.032855,            0.032611,            0.029779,             0.59421,             0.60173,             0.63157,             0.39433,            0.024954,            0.015469,            0.018176,            0.009406,            0.009406,            0.009406
                   5,            0.031125,            0.031378,            0.028664,             0.65483,             0.63873,             0.67981,             0.42787,            0.024242,            0.014908,             0.01625,            0.009208,            0.009208,            0.009208
                   6,            0.030172,            0.030584,            0.027253,              0.7197,             0.65243,             0.71015,             0.46594,            0.023212,            0.014516,            0.015253,             0.00901,             0.00901,             0.00901
                   7,            0.029282,            0.030401,            0.026392,             0.62731,             0.66383,             0.68282,             0.43915,            0.022611,            0.014664,            0.014679,            0.008812,            0.008812,            0.008812
                   8,            0.028944,            0.030433,            0.025422,             0.70181,             0.66486,             0.71425,             0.46626,            0.022594,            0.014446,            0.013657,            0.008614,            0.008614,            0.008614
                   9,            0.028625,            0.030085,             0.02487,             0.68486,             0.65911,             0.71138,             0.48421,            0.021819,            0.014272,            0.014543,            0.008416,            0.008416,            0.008416
                  10,            0.027797,            0.029839,            0.023561,             0.69622,             0.66381,             0.71351,             0.47065,             0.02135,            0.014327,            0.014233,            0.008218,            0.008218,            0.008218
                  11,            0.027119,            0.029606,            0.023072,             0.69562,              0.7089,             0.73323,             0.49323,            0.021347,            0.014173,            0.013131,             0.00802,             0.00802,             0.00802
                  12,            0.027173,            0.028811,            0.022526,             0.68299,             0.71896,             0.74604,              0.5096,             0.02144,            0.014059,             0.01206,            0.007822,            0.007822,            0.007822
                  13,            0.026564,            0.028814,            0.021837,              0.7436,             0.70835,             0.76626,             0.53858,            0.020788,             0.01378,            0.012387,            0.007624,            0.007624,            0.007624
                  14,            0.026091,            0.028173,             0.02159,             0.69858,             0.72391,             0.74336,             0.51306,            0.020448,             0.01387,            0.012188,            0.007426,            0.007426,            0.007426
                  15,            0.025819,            0.028072,            0.020322,             0.72149,             0.71544,              0.7696,             0.54483,            0.020048,            0.013643,            0.011527,            0.007228,            0.007228,            0.007228
                  16,            0.025247,            0.027955,            0.020049,             0.73238,             0.71202,             0.75531,             0.52733,            0.020496,            0.013754,            0.013081,             0.00703,             0.00703,             0.00703
                  17,            0.025255,            0.027319,            0.020155,             0.69096,             0.72789,             0.75769,             0.53705,            0.019966,            0.013655,            0.011154,            0.006832,            0.006832,            0.006832
                  18,            0.024771,            0.026875,            0.019255,             0.72788,             0.72174,             0.77054,             0.54978,            0.019365,            0.013565,            0.012647,            0.006634,            0.006634,            0.006634
                  19,            0.024462,            0.026815,            0.019264,             0.73588,             0.73978,             0.78121,             0.56157,            0.019464,            0.013457,            0.011293,            0.006436,            0.006436,            0.006436
                  20,            0.024411,            0.026637,            0.018828,             0.72424,             0.74496,             0.77572,             0.56076,            0.019274,            0.013523,            0.011787,            0.006238,            0.006238,            0.006238
                  21,            0.023946,            0.026694,            0.018585,             0.72531,             0.74252,             0.76648,             0.54987,            0.019186,             0.01331,             0.01337,             0.00604,             0.00604,             0.00604
                  22,            0.023853,            0.026661,            0.018119,             0.73781,              0.7397,             0.78236,             0.57459,             0.01878,            0.013207,             0.01105,            0.005842,            0.005842,            0.005842
                  23,            0.023391,            0.026074,            0.017613,             0.71222,             0.75086,             0.77338,             0.56139,            0.018733,            0.013532,            0.011562,            0.005644,            0.005644,            0.005644
                  24,            0.022878,            0.025938,            0.017214,             0.74409,              0.7469,              0.7929,             0.58246,            0.018726,            0.013274,            0.011733,            0.005446,            0.005446,            0.005446
                  25,            0.022624,            0.026262,            0.016959,             0.73651,             0.73761,             0.77906,             0.57384,            0.018555,            0.013155,            0.011269,            0.005248,            0.005248,            0.005248
                  26,            0.022989,            0.025404,             0.01658,             0.73542,              0.7349,             0.78322,             0.57792,            0.018315,             0.01324,             0.01213,             0.00505,             0.00505,             0.00505
                  27,            0.022905,            0.025344,             0.01682,             0.72485,             0.75667,              0.7892,              0.5839,            0.018131,             0.01297,            0.011069,            0.004852,            0.004852,            0.004852
                  28,            0.022254,            0.025287,            0.015935,             0.73011,             0.77112,             0.79118,             0.59279,            0.017998,            0.013162,            0.010989,            0.004654,            0.004654,            0.004654
                  29,            0.022077,            0.025309,            0.015427,             0.77098,             0.72558,             0.78327,             0.59063,            0.017632,            0.013324,            0.010349,            0.004456,            0.004456,            0.004456
                  30,            0.021813,            0.024295,            0.015816,             0.77019,             0.73402,             0.79877,             0.59534,            0.017831,            0.012994,            0.010441,            0.004258,            0.004258,            0.004258
                  31,            0.021987,            0.024442,            0.015094,             0.75507,             0.75239,             0.79577,             0.59254,            0.017776,            0.013037,            0.010691,             0.00406,             0.00406,             0.00406
                  32,            0.021583,            0.024401,            0.015348,             0.74165,             0.75455,             0.79526,             0.59741,            0.017648,             0.01299,            0.010111,            0.003862,            0.003862,            0.003862
                  33,            0.020933,            0.024552,            0.014604,             0.77318,             0.75158,              0.8016,             0.60528,            0.017301,            0.012913,            0.010114,            0.003664,            0.003664,            0.003664
                  34,            0.020927,             0.02373,             0.01457,              0.7819,             0.72247,             0.79852,             0.60479,            0.017338,            0.012926,            0.010398,            0.003466,            0.003466,            0.003466
                  35,            0.020598,            0.023865,            0.013988,               0.785,             0.74543,             0.81002,              0.6166,            0.017121,            0.012832,           0.0097665,            0.003268,            0.003268,            0.003268
                  36,            0.020444,             0.02371,            0.013992,             0.78688,             0.73369,             0.80787,             0.62182,             0.01712,            0.012735,            0.010041,             0.00307,             0.00307,             0.00307
                  37,            0.020621,            0.023601,            0.013808,             0.75148,             0.77242,             0.81396,             0.62506,            0.016891,            0.012592,            0.010414,            0.002872,            0.002872,            0.002872
                  38,            0.020266,            0.023109,            0.013041,              0.7703,             0.75872,             0.80144,             0.61334,            0.017064,            0.012726,            0.010821,            0.002674,            0.002674,            0.002674
                  39,            0.020202,            0.023357,            0.013577,              0.7636,             0.76826,             0.81098,             0.62118,            0.016707,            0.012665,            0.010074,            0.002476,            0.002476,            0.002476
                  40,            0.019939,            0.022859,            0.013085,              0.7426,             0.76819,             0.80733,             0.62154,            0.016719,            0.012675,            0.010264,            0.002278,            0.002278,            0.002278
                  41,            0.019344,             0.02251,            0.012778,             0.78151,             0.76703,             0.81522,             0.62705,            0.016598,            0.012608,           0.0097972,             0.00208,             0.00208,             0.00208
                  42,            0.019637,            0.022583,            0.012877,             0.79294,              0.7587,             0.81579,             0.63249,            0.016432,            0.012602,           0.0095675,            0.001882,            0.001882,            0.001882
                  43,            0.019143,             0.02207,             0.01184,              0.7616,              0.7699,             0.81129,             0.62973,            0.016434,            0.012711,             0.01005,            0.001684,            0.001684,            0.001684
